user_id,movie_id,rating,scaled_rating
b212aade-8b60-4147-aed6-668315225a74,6,4,0.8
5d812870-c105-479b-b02a-7b0476110b92,8,3,0.6
5d812870-c105-479b-b02a-7b0476110b92,4,2,0.4
47dc8d0c-558f-46a8-b171-4a161777ed6c,5,2,0.4
b212aade-8b60-4147-aed6-668315225a74,1,3,0.6
337bfe34-1c2a-4e68-ba26-4033366d124e,1,2,0.4
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,5,3,0.6
b212aade-8b60-4147-aed6-668315225a74,2,2,0.4
b212aade-8b60-4147-aed6-668315225a74,2,3,0.6
b212aade-8b60-4147-aed6-668315225a74,9,3,0.6
a48555d0-6049-4f87-8ead-a3d0bdbe4c15,6,2,0.4
c0dadf67-686b-4354-917b-6524f8104e94,8,3,0.6
c0dadf67-686b-4354-917b-6524f8104e94,0,3,0.6
5d812870-c105-479b-b02a-7b0476110b92,8,1,0.2
5d812870-c105-479b-b02a-7b0476110b92,8,1,0.2
47dc8d0c-558f-46a8-b171-4a161777ed6c,3,2,0.4
47dc8d0c-558f-46a8-b171-4a161777ed6c,5,1,0.2
fa6e24cc-a26f-429c-ba24-6fcb801818d3,5,1,0.2
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,4,1,0.2
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,6,3,0.6
5d812870-c105-479b-b02a-7b0476110b92,7,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,6,3,0.6
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,7,5,1.0
fa6e24cc-a26f-429c-ba24-6fcb801818d3,6,2,0.4
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,5,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,1,3,0.6
5d812870-c105-479b-b02a-7b0476110b92,2,3,0.6
5d812870-c105-479b-b02a-7b0476110b92,8,1,0.2
47dc8d0c-558f-46a8-b171-4a161777ed6c,7,2,0.4
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,7,3,0.6
47dc8d0c-558f-46a8-b171-4a161777ed6c,6,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,2,3,0.6
47dc8d0c-558f-46a8-b171-4a161777ed6c,7,3,0.6
5d812870-c105-479b-b02a-7b0476110b92,1,3,0.6
c0dadf67-686b-4354-917b-6524f8104e94,4,2,0.4
b212aade-8b60-4147-aed6-668315225a74,7,2,0.4
c0dadf67-686b-4354-917b-6524f8104e94,7,2,0.4
c0dadf67-686b-4354-917b-6524f8104e94,1,5,1.0
5d812870-c105-479b-b02a-7b0476110b92,5,3,0.6
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,5,3,0.6
5d812870-c105-479b-b02a-7b0476110b92,9,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,8,1,0.2
5d812870-c105-479b-b02a-7b0476110b92,0,1,0.2
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,3,3,0.6
47dc8d0c-558f-46a8-b171-4a161777ed6c,6,2,0.4
5d812870-c105-479b-b02a-7b0476110b92,1,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,5,2,0.4
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,7,4,0.8
47dc8d0c-558f-46a8-b171-4a161777ed6c,1,4,0.8
b212aade-8b60-4147-aed6-668315225a74,9,3,0.6
c0dadf67-686b-4354-917b-6524f8104e94,4,3,0.6
c0dadf67-686b-4354-917b-6524f8104e94,5,2,0.4
b212aade-8b60-4147-aed6-668315225a74,6,3,0.6
c0dadf67-686b-4354-917b-6524f8104e94,1,5,1.0
2ed6b3c0-2c5a-4aeb-aae0-1264eeb35ac9,5,3,0.6
2ed6b3c0-2c5a-4aeb-aae0-1264eeb35ac9,5,3,0.6
337bfe34-1c2a-4e68-ba26-4033366d124e,7,5,1.0
2ed6b3c0-2c5a-4aeb-aae0-1264eeb35ac9,6,2,0.4
a48555d0-6049-4f87-8ead-a3d0bdbe4c15,3,5,1.0
47dc8d0c-558f-46a8-b171-4a161777ed6c,8,3,0.6
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,2,3,0.6
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,7,4,0.8
337bfe34-1c2a-4e68-ba26-4033366d124e,3,3,0.6
337bfe34-1c2a-4e68-ba26-4033366d124e,0,4,0.8
b212aade-8b60-4147-aed6-668315225a74,9,2,0.4
c0dadf67-686b-4354-917b-6524f8104e94,1,4,0.8
fa6e24cc-a26f-429c-ba24-6fcb801818d3,9,3,0.6
a48555d0-6049-4f87-8ead-a3d0bdbe4c15,6,2,0.4
c0dadf67-686b-4354-917b-6524f8104e94,0,3,0.6
337bfe34-1c2a-4e68-ba26-4033366d124e,5,2,0.4
b212aade-8b60-4147-aed6-668315225a74,9,2,0.4
5d812870-c105-479b-b02a-7b0476110b92,0,2,0.4
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,4,4,0.8
fa6e24cc-a26f-429c-ba24-6fcb801818d3,8,2,0.4
a48555d0-6049-4f87-8ead-a3d0bdbe4c15,0,2,0.4
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,0,4,0.8
337bfe34-1c2a-4e68-ba26-4033366d124e,6,3,0.6
c0dadf67-686b-4354-917b-6524f8104e94,0,1,0.2
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,0,3,0.6
2ed6b3c0-2c5a-4aeb-aae0-1264eeb35ac9,6,1,0.2
b212aade-8b60-4147-aed6-668315225a74,5,3,0.6
06a7b12c-0d85-4c02-9a57-ec6d6744ebf0,3,3,0.6
47dc8d0c-558f-46a8-b171-4a161777ed6c,5,2,0.4
fa6e24cc-a26f-429c-ba24-6fcb801818d3,8,1,0.2
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,2,3,0.6
b212aade-8b60-4147-aed6-668315225a74,6,4,0.8
2ed6b3c0-2c5a-4aeb-aae0-1264eeb35ac9,8,3,0.6
47dc8d0c-558f-46a8-b171-4a161777ed6c,8,4,0.8
337bfe34-1c2a-4e68-ba26-4033366d124e,4,1,0.2
b212aade-8b60-4147-aed6-668315225a74,3,1,0.2
c0dadf67-686b-4354-917b-6524f8104e94,8,2,0.4
5d812870-c105-479b-b02a-7b0476110b92,3,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,0,3,0.6
c0dadf67-686b-4354-917b-6524f8104e94,8,1,0.2
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,2,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,0,1,0.2
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,1,3,0.6
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,7,4,0.8
65a5e08d-8d88-4f3d-9ca1-f9fabfb850a8,1,3,0.6
fa6e24cc-a26f-429c-ba24-6fcb801818d3,5,3,0.6
